member_name,strategy_type,priority,query,url
安保　満,direct_search,high,"""安保　満"" 市議 -RT",https://x.com/search?q=%22%E5%AE%89%E4%BF%9D%E3%80%80%E6%BA%80%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
安保　満,direct_search,high,"""安保　満"" 昭島市 議員",https://x.com/search?q=%22%E5%AE%89%E4%BF%9D%E3%80%80%E6%BA%80%22%20%E6%98%AD%E5%B3%B6%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
安保　満,direct_search,high,安保満 プロフィール 市議,https://x.com/search?q=%E5%AE%89%E4%BF%9D%E6%BA%80%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
安保　満,party_search,medium,自由民主党昭島市議団 昭島市 安保,https://x.com/search?q=%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E6%98%AD%E5%B3%B6%E5%B8%82%E8%AD%B0%E5%9B%A3%20%E6%98%AD%E5%B3%B6%E5%B8%82%20%E5%AE%89%E4%BF%9D&f=user
安保　満,party_search,medium,"""自由民主党昭島市議団"" メンバー 安保　満",https://x.com/search?q=%22%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E6%98%AD%E5%B3%B6%E5%B8%82%E8%AD%B0%E5%9B%A3%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E5%AE%89%E4%BF%9D%E3%80%80%E6%BA%80&f=user
安保　満,election_search,low,安保　満 当選 昭島市,https://x.com/search?q=%E5%AE%89%E4%BF%9D%E3%80%80%E6%BA%80%20%E5%BD%93%E9%81%B8%20%E6%98%AD%E5%B3%B6%E5%B8%82&f=user
安保　満,election_search,low,#昭島市選挙 安保　満,https://x.com/search?q=%23%E6%98%AD%E5%B3%B6%E5%B8%82%E9%81%B8%E6%8C%99%20%E5%AE%89%E4%BF%9D%E3%80%80%E6%BA%80&f=user
安保　満,election_search,low,安保　満 選挙ポスター,https://x.com/search?q=%E5%AE%89%E4%BF%9D%E3%80%80%E6%BA%80%20%E9%81%B8%E6%8C%99%E3%83%9D%E3%82%B9%E3%82%BF%E3%83%BC&f=user
髙橋　誠,direct_search,high,"""髙橋　誠"" 市議 -RT",https://x.com/search?q=%22%E9%AB%99%E6%A9%8B%E3%80%80%E8%AA%A0%22%20%E5%B8%82%E8%AD%B0%20-RT&f=user
髙橋　誠,direct_search,high,"""髙橋　誠"" 昭島市 議員",https://x.com/search?q=%22%E9%AB%99%E6%A9%8B%E3%80%80%E8%AA%A0%22%20%E6%98%AD%E5%B3%B6%E5%B8%82%20%E8%AD%B0%E5%93%A1&f=user
髙橋　誠,direct_search,high,髙橋誠 プロフィール 市議,https://x.com/search?q=%E9%AB%99%E6%A9%8B%E8%AA%A0%20%E3%83%97%E3%83%AD%E3%83%95%E3%82%A3%E3%83%BC%E3%83%AB%20%E5%B8%82%E8%AD%B0&f=user
髙橋　誠,party_search,medium,自由民主党昭島市議団 昭島市 髙橋,https://x.com/search?q=%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E6%98%AD%E5%B3%B6%E5%B8%82%E8%AD%B0%E5%9B%A3%20%E6%98%AD%E5%B3%B6%E5%B8%82%20%E9%AB%99%E6%A9%8B&f=user
髙橋　誠,party_search,medium,"""自由民主党昭島市議団"" メンバー 髙橋　誠",https://x.com/search?q=%22%E8%87%AA%E7%94%B1%E6%B0%91%E4%B8%BB%E5%85%9A%E6%98%AD%E5%B3%B6%E5%B8%82%E8%AD%B0%E5%9B%A3%22%20%E3%83%A1%E3%83%B3%E3%83%90%E3%83%BC%20%E9%AB%99%E6%A9%8B%E3%80%80%E8%AA%A0&f=user
